"","WAG_M","WAG_M_SA","WAG_C_M"
"1",100,108.6,15.3
"2",99.04,111.5,19.1
"3",101.77,114.2,23.6
"4",110.05,116.4,30.6
"5",115.47,117.1,37.5
"6",120.65,115,47.4
"7",116.38,111.1,56
"8",107.85,106.5,65.4
"9",108.93,102.7,80.9
"10",103.39,100.9,93
"11",99.35,101.1,101.5
"12",119.75,102.6,141.2
"13",97,104.1,134.2
"14",94.09,104.6,144.7
"15",99.74,103.7,164.8
"16",95.75,102.1,171.5
"17",95.84,100.5,183.5
"18",102.55,99.4,207.5
"19",103.58,98.5,221
"20",104.61,97.6,232.8
"21",105.66,96,253.2
"22",96.15,93.1,265
"23",89.42,88.9,281.6
"24",96.57,83.6,354.2
"25",69.53,78.3,302.6
"26",66.75,74.2,321
"27",68.75,71.6,361.5
"28",67.38,70.4,386.2
"29",69.4,69.8,429.9
"30",72.87,69.6,480.6
"31",72.14,69.5,499.5
"32",71.85,70.1,520.6
"33",74.73,71.4,564.5
"34",75.47,73.2,594.5
"35",74.79,75.3,615.7
"36",86.76,77.5,735.5
"37",73.75,79.5,654.8
"38",75.22,80.9,684.4
"39",79.74,81.6,745
"40",78.14,81.7,746.5
"41",80.48,81.6,779.3
"42",85.39,81.8,837.2
"43",85.39,82.2,842.8
"44",84.54,82.6,831
"45",86.23,83,848.1
"46",84.51,83.3,843.3
"47",81.97,83.5,835
"48",98.37,83.8,1017
"49",76.73,84.1,812
"50",76.73,84.3,821
"51",82.86,84.3,903
"52",82.03,84.1,901
"53",83.02,84,920
"54",88.66,84.1,993.2
"55",88.4,84.9,999.1
"56",86.98,86.2,982.3
"57",91.16,87.9,1026.2
"58",89.15,89.3,1006.1
"59",87.91,90.4,997.8
"60",106.01,91.1,1214.8
"61",83.01,91.2,988
"62",82.51,90.7,1000
"63",88.29,89.6,1059
"64",86.52,88.2,1040
"65",86.26,86.4,1047
"66",92.21,83.9,1122
"67",90.74,80.6,1110
"68",83.48,76.1,1052
"69",63.44,71.1,1112
"70",60.97,65.9,1123
"71",59.81,61.3,1164
"72",67.89,57.6,1482
"73",49.22,55.2,1167
"74",48.77,54.1,1199
"75",54.48,54.1,1385
"76",54.48,54.6,1423
"77",55.13,55.1,1472
"78",59.38,55.5,1626
"79",57.54,55.8,1618
"80",56.45,56.6,1608
"81",58.2,57.9,1684
"82",58.43,59.6,1716
"83",60.18,61.5,1789
"84",74.87,63.2,2283
"85",60.57,64.5,1830
"86",60.2,65.2,1839
"87",65.56,65.7,2018
"88",65.69,66.1,2039
"89",66.41,66.5,2101
"90",70.67,67,2294
"91",69.82,67.8,2302
"92",68.77,68.9,2289
"93",70.21,70.2,2367
"94",70.57,71.5,2425
"95",71.91,72.9,2508
"96",85.42,74.3,3025
"97",75.43,75.6,2733
"98",71.58,76.8,2655
"99",78.6,77.6,2964
"100",76,78.3,2923
"101",78.06,79.3,3054
"102",82.51,80.7,3284
"103",84.07,82.5,3364
"104",84.33,84.2,3376
"105",84.41,85.6,3405
"106",86.27,87.1,3515
"107",86.61,88.5,3578
"108",108,89.9,4541
"109",87.16,91,3760
"110",85.33,91.8,3725
"111",91.39,92.5,4031
"112",92.03,93.4,4110
"113",92.12,94.5,4187
"114",97.55,95.7,4460
"115",99.7,96.9,4597
"116",97.71,98,4511
"117",97.51,98.9,4521
"118",99.17,99.3,4646
"119",98.77,99.4,4694
"120",118.92,99.5,5738
"121",95.85,99.6,4696
"122",94.41,100.1,4701
"123",98.95,101.1,4986
"124",100.13,102.3,5100
"125",101.63,103.5,5221
"126",107.22,104.7,5550
"127",107.87,105.9,5615
"128",106.03,107.3,5491
"129",106.99,109.2,5556
"130",111.91,111,5864
"131",113.14,112.6,5990
"132",137.24,113.9,7344
"133",108.01,114.9,5932
"134",110.49,115.7,6141
"135",114.8,116.5,6428
"136",114.11,117.1,6448
"137",114.57,117.8,6524
"138",122.02,118.5,7003
"139",120.55,119,6982
"140",118.38,119.1,6873
"141",118.74,119,6918
"142",117.31,119.3,6908
"143",118.37,120.3,7046
"144",146.18,121.9,8799
"145",118.26,123.7,7346
"146",118.74,125.3,7465
"147",127.17,126.3,8093
"148",124.5,127,8002
"149",124.74,127.8,8089
"150",132.85,129.2,8637
"151",132.19,131.2,8651
"152",132.98,133.4,8616
"153",135.91,135.2,8829
"154",133.46,136.5,8701
"155",135.86,137.3,8931
"156",170.78,138.1,11319
"157",131.16,138.9,9016
"158",132.47,140.1,9255
"159",140.68,141.8,9914
"160",139.28,144.2,9833
"161",144.43,147,10257
"162",155.99,149.8,11106
"163",152.55,152.2,10883
"164",152.1,154.2,10853
"165",155.75,155.9,11127
"166",154.5,157.7,11046
"167",157.28,159.8,11303
"168",196.92,162.4,14263
"169",156.75,165.2,11430
"170",159.41,168,11757
"171",168.02,170.4,12448
"172",167.51,172.4,12494
"173",170.53,174,12787
"174",181.27,175.2,13712
"175",177.65,176.1,13546
"176",173.92,177.3,13270
"177",177.92,179.7,13677
"178",179.16,183,13986
"179",185.43,186.6,14656
"180",232.72,189.7,18591
"181",179.19,192.2,14771
"182",184.39,194.1,15354
"183",192.13,195.8,16172
"184",194.06,197.4,16538
"185",192.89,198.8,16643
"186",203.31,200.2,17715
"187",203.31,201.6,17758
"188",197.61,202.6,17244
"189",201.76,202.5,17739
"190",198.94,201.2,17643
"191",196.75,199.4,17598
"192",240.63,197.6,21681
"193",185.76,196,17119
"194",182.98,194.6,17098
"195",191.03,193.4,18129
"196",188.35,192.5,18009
"197",187.22,192.2,18007
"198",199.02,192.6,19247
"199",194.24,193.4,18872
"200",189.19,194.7,18335
"201",194.3,196.2,18838
"202",193.72,197.6,18798
"203",197.4,198.8,19215
"204",245.37,199.9,23827
"205",188.2,201,18938
"206",188.38,202,19017
"207",202.51,202.7,20589
"208",199.88,203.3,20358
"209",198.28,204.1,20279
"210",212.36,205,21795
"211",207.05,205.7,21325
"212",200.4,205.8,20753
"213",201.2,205.4,20999
"214",199.8,205.1,20970
"215",203.2,204.8,21486
"216",262.1,204.5,28027
"217",190.8,204.4,20669
"218",189.1,204.4,20680
"219",206,205,22673
"220",203.7,206,22519
"221",204.7,207.4,22779
"222",216.4,209.2,24137
"223",211.6,211.5,23598
"224",207.6,213.7,23051
"225",211.3,215.8,23468
"226",211.5,217.8,23602
"227",216.8,220.2,24296
"228",291.4,223,32809
"229",210.4,225.4,23746
"230",212.1,226.9,24036
"231",224.2,227.8,25487
"232",226.2,228.6,25800
"233",230.5,229.2,26385
"234",238.1,229.5,27494
"235",228.6,229.4,26684
"236",220.1,229.4,25718
"237",221.2,230.4,25996
"238",227,232.3,26803
"239",231.7,234.6,27448
"240",306.1,236.4,36450
"241",222.6,237.8,26840
"242",220.3,239.3,26620
"243",236.9,240.8,28693
"244",246.8,242.2,30026
"245",242.9,243.4,29723
"246",252.3,244.3,30986
"247",244.3,244.9,30229
"248",236.4,245.3,29226
"249",236.9,246,29346
"250",241.4,247.3,30069
"251",243.3,249.1,30290
"252",316.8,250.8,39648
"253",235.4,252,29535
"254",231.6,252.3,29255
"255",247.6,251.9,31486
"256",257,251.2,32947
"257",249.6,250.4,32272
"258",259.8,249.9,33726
"259",249.2,249.7,32515
"260",235.2,250.3,30763
"261",242.5,250.8,31929
"262",244.7,250.1,32439
"263",242.2,247.4,32546
"264",306.4,243,42136
"265",218.5,238.2,30929
"266",216.9,234.4,31325
"267",224.3,232.3,32642
"268",235.3,231.7,34377
"269",234.8,231.5,34380
"270",241.4,231,35395
"271",229.4,230.3,33901
"272",217.2,229.4,32176
"273",220.9,228.6,32911
"274",222.2,228.1,33357
"275",220.7,228,33347
"276",285.1,228.5,43408
"277",211.8,229.2,32660
"278",218.6,230,33873
"279",228,230.8,35501
"280",233.2,231.1,36497
"281",237.2,231.2,37270
"282",243.6,231.6,38447
"283",226.1,232,35888
"284",222.7,232.3,35405
"285",224.9,232.6,35843
"286",223.6,233.1,35749
"287",225.6,234,36195
"288",295.3,235.4,47554
"289",219.7,237.4,34422
"290",225.6,239.5,35497
"291",240.5,241.6,37899
"292",248.4,243.6,39225
"293",250.4,245.1,39679
"294",260.2,246.2,41454
"295",239.6,247.3,38073
"296",235.1,248.9,37099
"297",241.7,250.9,38047
"298",243.1,253.4,38333
"299",245.8,256.5,38848
"300",322.5,259.8,51197
"301",246.1,262.8,39017
"302",252.2,264.7,40443
"303",264.1,265.6,42364
"304",270.4,266.1,43381
"305",272.8,266.8,44076
"306",282.7,267.7,45848
"307",260.6,268.3,42413
"308",254.1,268.9,41364
"309",256.4,269.4,41774
"310",259.2,269.8,42332
"311",259.2,269.3,42595
"312",335.1,268.3,55569
"313",250.7,267.6,42263
"314",253.4,268.2,43062
"315",271.7,270.1,46324
"316",280.4,272.4,48030
"317",278.7,274.1,47926
"318",286.8,275.1,49348
"319",269.3,275.7,46509
"320",260.4,276.3,44961
"321",263.8,277.4,45541
"322",269.1,279,46549
"323",266.6,280.8,46285
"324",357.3,282.3,62239
"325",266.2,282.7,46674
"326",267.5,281.9,47257
"327",286.5,280.2,50948
"328",274.2,278.7,49306
"329",280.8,278,50747
"330",287.5,278.4,52123
"331",275.2,279.4,50145
"332",261.7,280.4,47649
"333",270.6,280.8,49259
"334",270,280.6,49539
"335",266,280.2,49274
"336",371,280.4,69278
"337",263.8,281.2,49516
"338",268.3,282.2,51229
"339",287.3,282.5,55208
